"Feuchte","Regenwahrscheinlichkeit","Ergebnis"
"17.94","56.89","Warten"
"15.01","80.88","Ernten"
"15.56","75.99","Warten"
"18.25","36.97","Warten"
"16.52","90.11","Warten"
"15.26","27.82","Warten"
"11.16","8.86","Ernten"
"15.93","82.81","Ernten"
"19.59","50.62","Warten"
"11.67","84.37","Ernten"
"14.99","16.3","Warten"
"15.0","29.37","Warten"
"12.95","6.65","Ernten"
"17.93","32.04","Warten"
"13.13","11.36","Ernten"
"13.69","19.64","Ernten"
"19.37","43.79","Warten"
"13.39","18.46","Ernten"
"15.8","65.68","Warten"
"15.5","89.68","Ernten"
"20.58","50.79","Warten"
"14.36","33.3","Ernten"
"14.25","35.58","Ernten"
"16.97","46.66","Warten"
"14.82","45.99","Warten"
"21.37","79.13","Warten"
"12.52","82.26","Ernten"
"12.12","69.46","Ernten"
"13.11","33.86","Ernten"
"11.23","72.66","Ernten"
"12.43","44.65","Ernten"
"15.57","91.86","Ernten"
"14.62","11.69","Warten"
"15.05","59.14","Warten"
"14.09","17.32","Ernten"
"13.58","78.91","Ernten"
"13.73","10.53","Ernten"
"12.29","83.0","Ernten"
"14.03","87.26","Ernten"
"15.71","31.81","Warten"
"18.99","84.35","Warten"
"11.25","53.2","Ernten"
"16.62","17.0","Warten"
"21.9","76.6","Warten"
"15.85","74.88","Warten"
"13.4","7.1","Ernten"
"19.05","62.69","Warten"
"20.48","84.27","Warten"
"16.92","10.98","Warten"
"20.07","90.13","Warten"
"18.41","85.71","Warten"
"15.26","81.59","Ernten"
"16.82","17.97","Warten"
"14.29","90.32","Ernten"
"14.36","55.08","Ernten"
"15.81","87.46","Ernten"
"13.8","88.29","Ernten"
"16.74","43.61","Warten"
"14.3","89.22","Ernten"
"21.55","55.24","Warten"
"18.81","61.28","Warten"
"21.83","72.58","Warten"
"13.53","42.93","Ernten"
"20.47","5.55","Warten"
"14.48","90.06","Ernten"
"13.84","15.06","Ernten"
"16.08","18.94","Warten"
"18.86","61.32","Warten"
"13.48","14.12","Ernten"
"21.49","58.0","Warten"
"19.69","45.83","Warten"
"11.87","60.95","Ernten"
"11.72","53.39","Ernten"
"19.25","27.01","Warten"
"12.93","93.0","Ernten"
"13","45","Warten"
"14.76","48.35","Warten"
"17.6","43.51","Warten"
"15.65","84.53","Ernten"
"11.18","85.41","Ernten"
"15.44","22.33","Warten"
"20.43","58.32","Warten"
"11.28","84.21","Ernten"
"14.59","38.96","Warten"
"14.14","44.52","Ernten"
"11.41","48.43","Ernten"
"13.04","89.08","Ernten"
"15.47","32.17","Warten"
"11.74","48.1","Ernten"
"14.98","23.35","Warten"
"14.74","91.87","Ernten"
