ID-Nummer;Abteilung;Klassenarbeit;K1;K2;K3;K4;K5;K6;K7
1;J;100.00 %;90.00 %;100.00 %;92.86 %;100.00 %;100.00 %;100.00 %;100.00 %
2;J;80.62 %;70.00 %;100.00 %;64.29 %;72.22 %;77.27 %;83.33 %;93.58 %
3;J;95.07 %;95.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %
4;J;85.80 %;50.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %
5;J;94.93 %;90.00 %;100.00 %;100.00 %;88.89 %;95.45 %;100.00 %;91.30 %
6;J;86.67 %;80.00 %;85.71 %;100.00 %;97.22 %;-;94.44 %;100.00 %
7;J;0.00 %;90.00 %;100.00 %;100.00 %;100.00 %;86.36 %;88.89 %;84.89 %
8;J;-;90.00 %;85.71 %;78.57 %;100.00 %;100.00 %;100.00 %;-
9;J;75.25 %;80.00 %;100.00 %;64.29 %;100.00 %;100.00 %;94.44 %;97.93 %
10;J;91.74 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %
11;J;79.28 %;80.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %
12;J;67.61 %;30.00 %;-;21.43 %;0.00 %;100.00 %;38.89 %;33.13 %
13;J;90.58 %;90.00 %;100.00 %;78.57 %;100.00 %;100.00 %;100.00 %;74.12 %
14;J;89.28 %;90.00 %;100.00 %;100.00 %;77.78 %;95.45 %;-;100.00 %
15;J;78.70 %;100.00 %;78.57 %;100.00 %;100.00 %;100.00 %;94.44 %;43.69 %
16;J;95.11 %;85.00 %;100.00 %;100.00 %;100.00 %;100.00 %;94.44 %;95.65 %
17;J;83.88 %;85.00 %;100.00 %;100.00 %;100.00 %;100.00 %;-;100.00 %
18;J;59.93 %;80.00 %;-;100.00 %;100.00 %;100.00 %;83.33 %;80.95 %
19;J;97.83 %;100.00 %;78.57 %;78.57 %;100.00 %;100.00 %;100.00 %;100.00 %
20;J;87.32 %;85.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %
21;J;83.19 %;65.00 %;100.00 %;57.14 %;100.00 %;100.00 %;94.44 %;95.86 %
22;J;96.56 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %
23;J;85.07 %;87.50 %;92.86 %;100.00 %;100.00 %;100.00 %;-;95.86 %
24;J;91.74 %;80.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %
25;J;95.07 %;100.00 %;100.00 %;100.00 %;100.00 %;95.45 %;88.89 %;-
26;J;86.74 %;85.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;97.93 %
27;J;97.83 %;90.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %
28;J;87.86 %;90.00 %;85.71 %;100.00 %;100.00 %;100.00 %;100.00 %;91.30 %
29;K;93.48 %;90.00 %;100.00 %;100.00 %;97.22 %;100.00 %;-;-
30;K;-;-;-;-;-;36.36 %;-;-
31;K;97.83 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %
32;K;83.77 %;95.00 %;100.00 %;52.36 %;100.00 %;100.00 %;88.89 %;82.82 %
33;K;87.68 %;90.00 %;85.71 %;61.93 %;100.00 %;90.91 %;94.44 %;82.82 %
34;K;88.55 %;100.00 %;92.86 %;100.00 %;100.00 %;100.00 %;88.89 %;91.30 %
35;K;84.24 %;90.00 %;100.00 %;50.00 %;94.44 %;86.36 %;77.78 %;78.47 %
36;K;90.72 %;95.00 %;100.00 %;28.57 %;97.22 %;100.00 %;55.56 %;95.65 %
37;K;88.41 %;90.00 %;100.00 %;71.43 %;100.00 %;95.45 %;94.44 %;91.30 %
38;K;42.46 %;-;-;-;-;-;-;-
39;K;95.65 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;95.65 %
40;K;58.37 %;35.00 %;100.00 %;28.57 %;27.78 %;45.45 %;44.44 %;50.31 %
41;K;81.78 %;80.00 %;85.71 %;100.00 %;97.22 %;86.36 %;100.00 %;83.02 %
42;K;61.30 %;45.00 %;78.57 %;28.57 %;100.00 %;36.36 %;41.67 %;20.70 %
43;K;67.83 %;55.00 %;78.57 %;-;80.56 %;95.45 %;11.11 %;-
44;K;-;55.00 %;100.00 %;42.86 %;83.33 %;100.00 %;-;-
45;K;90.43 %;-;100.00 %;52.36 %;100.00 %;45.45 %;-;56.73 %
46;K;88.12 %;85.00 %;85.71 %;100.00 %;100.00 %;100.00 %;100.00 %;86.96 %
47;K;85.91 %;80.00 %;100.00 %;100.00 %;33.33 %;100.00 %;100.00 %;56.52 %
48;K;90.29 %;95.00 %;100.00 %;100.00 %;100.00 %;100.00 %;94.44 %;97.93 %
49;K;96.38 %;100.00 %;100.00 %;52.36 %;100.00 %;95.45 %;100.00 %;91.30 %
50;K;95.83 %;95.00 %;92.86 %;100.00 %;100.00 %;95.45 %;100.00 %;86.96 %
51;K;83.04 %;45.00 %;85.71 %;52.38 %;-;72.73 %;50.00 %;-
52;L;100.00 %;80.00 %;100.00 %;100.00 %;100.00 %;95.45 %;100.00 %;100.00 %
53;L;99.28 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;87.16 %
54;L;84.78 %;90.00 %;100.00 %;75.00 %;100.00 %;95.45 %;100.00 %;-
55;L;49.71 %;70.00 %;92.86 %;100.00 %;100.00 %;100.00 %;94.44 %;95.86 %
56;L;95.65 %;95.00 %;100.00 %;85.71 %;100.00 %;100.00 %;100.00 %;100.00 %
57;L;86.67 %;80.00 %;100.00 %;100.00 %;100.00 %;95.45 %;83.33 %;43.48 %
58;L;93.48 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;85.09 %
59;L;91.30 %;90.00 %;100.00 %;100.00 %;97.22 %;90.91 %;100.00 %;78.47 %
60;L;89.57 %;95.00 %;100.00 %;78.57 %;97.22 %;95.45 %;94.44 %;97.93 %
61;L;81.59 %;90.00 %;85.71 %;100.00 %;100.00 %;95.45 %;94.44 %;93.79 %
62;L;93.48 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;94.44 %;78.68 %
63;L;75.94 %;70.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;78.68 %
64;L;87.32 %;95.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;-
65;L;81.20 %;85.00 %;100.00 %;78.57 %;94.44 %;100.00 %;100.00 %;93.79 %
66;L;79.42 %;90.00 %;71.43 %;100.00 %;83.33 %;95.45 %;77.78 %;-
67;L;94.20 %;95.00 %;100.00 %;100.00 %;100.00 %;95.45 %;100.00 %;100.00 %
68;L;85.22 %;90.00 %;100.00 %;100.00 %;100.00 %;100.00 %;94.44 %;82.82 %
69;L;87.93 %;100.00 %;92.86 %;100.00 %;100.00 %;95.45 %;100.00 %;82.61 %
70;L;93.48 %;90.00 %;92.86 %;75.00 %;100.00 %;100.00 %;97.22 %;87.16 %
71;L;92.46 %;100.00 %;85.71 %;67.86 %;94.44 %;100.00 %;88.89 %;89.23 %
72;L;92.64 %;90.00 %;85.71 %;100.00 %;88.89 %;100.00 %;100.00 %;-
73;L;93.48 %;90.00 %;100.00 %;100.00 %;100.00 %;95.45 %;100.00 %;100.00 %
74;L;92.46 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;95.86 %
75;L;62.75 %;30.00 %;92.86 %;78.57 %;100.00 %;100.00 %;77.78 %;95.86 %
76;M;45.83 %;40.00 %;-;42.86 %;83.33 %;72.73 %;97.22 %;73.91 %
77;M;67.79 %;30.00 %;100.00 %;100.00 %;100.00 %;95.45 %;100.00 %;39.96 %
78;M;85.40 %;100.00 %;100.00 %;92.86 %;100.00 %;90.91 %;97.22 %;100.00 %
79;M;81.52 %;95.00 %;85.71 %;78.57 %;100.00 %;100.00 %;97.22 %;95.65 %
80;M;92.46 %;100.00 %;92.86 %;100.00 %;100.00 %;100.00 %;88.89 %;78.47 %
81;M;88.12 %;95.00 %;100.00 %;67.86 %;100.00 %;81.82 %;100.00 %;60.87 %
82;M;86.12 %;60.00 %;100.00 %;92.86 %;100.00 %;77.27 %;77.78 %;84.89 %
83;M;65.76 %;-;100.00 %;60.71 %;100.00 %;81.82 %;72.22 %;43.48 %
84;M;95.11 %;95.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;91.41 %
85;M;25.07 %;0.00 %;100.00 %;-;-;-;-;-
86;M;97.10 %;100.00 %;100.00 %;92.86 %;100.00 %;95.45 %;100.00 %;95.65 %
87;M;62.39 %;40.00 %;100.00 %;42.86 %;69.44 %;81.82 %;38.89 %;-
88;M;-;100.00 %;100.00 %;100.00 %;100.00 %;86.36 %;97.22 %;-
89;M;38.04 %;45.00 %;92.86 %;25.00 %;44.44 %;40.91 %;-;45.96 %
90;M;93.80 %;100.00 %;100.00 %;85.71 %;100.00 %;100.00 %;94.44 %;95.65 %
91;M;-;10.00 %;92.86 %;-;-;-;-;-
92;M;70.14 %;75.00 %;100.00 %;25.00 %;100.00 %;86.36 %;100.00 %;78.26 %
93;M;76.09 %;100.00 %;100.00 %;92.86 %;88.89 %;100.00 %;94.44 %;69.57 %
94;M;6.52 %;0.00 %;100.00 %;28.57 %;41.67 %;-;-;0.00 %
95;M;97.28 %;95.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %
96;N;94.20 %;100.00 %;100.00 %;100.00 %;100.00 %;86.36 %;97.22 %;100.00 %
97;N;89.13 %;-;92.86 %;100.00 %;100.00 %;100.00 %;-;91.30 %
98;N;91.30 %;65.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;95.86 %
99;N;92.75 %;100.00 %;100.00 %;100.00 %;86.11 %;86.36 %;100.00 %;93.69 %
100;N;94.09 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;97.22 %;100.00 %
101;N;94.93 %;100.00 %;100.00 %;100.00 %;100.00 %;95.45 %;100.00 %;100.00 %
102;N;80.43 %;90.00 %;85.71 %;100.00 %;88.89 %;100.00 %;94.44 %;-
103;N;84.78 %;90.00 %;100.00 %;92.86 %;100.00 %;95.45 %;100.00 %;87.16 %
104;N;96.96 %;95.00 %;85.71 %;100.00 %;94.44 %;100.00 %;100.00 %;78.26 %
105;N;88.84 %;100.00 %;100.00 %;78.57 %;100.00 %;95.45 %;88.89 %;82.61 %
106;N;94.35 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;93.79 %
107;N;92.03 %;90.00 %;100.00 %;82.14 %;100.00 %;100.00 %;100.00 %;100.00 %
108;N;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %;100.00 %
109;N;98.55 %;90.00 %;100.00 %;67.86 %;100.00 %;95.45 %;100.00 %;86.96 %
110;N;87.43 %;85.00 %;85.71 %;100.00 %;50.00 %;100.00 %;100.00 %;95.86 %
111;N;47.43 %;80.00 %;78.57 %;50.00 %;58.33 %;81.82 %;100.00 %;83.23 %
112;N;88.04 %;90.00 %;100.00 %;85.71 %;100.00 %;100.00 %;94.44 %;100.00 %
113;N;87.39 %;90.00 %;100.00 %;92.86 %;97.22 %;81.82 %;97.22 %;69.77 %
114;N;68.59 %;85.00 %;100.00 %;57.14 %;100.00 %;86.36 %;100.00 %;86.96 %
115;N;73.80 %;0.00 %;-;92.86 %;88.89 %;95.45 %;100.00 %;-
116;N;92.64 %;100.00 %;100.00 %;78.57 %;100.00 %;90.91 %;100.00 %;100.00 %
117;N;75.69 %;70.00 %;100.00 %;71.43 %;83.33 %;86.36 %;100.00 %;43.48 %
118;N;77.61 %;80.00 %;64.29 %;71.43 %;100.00 %;100.00 %;100.00 %;97.93 %
119;N;-;100.00 %;100.00 %;100.00 %;100.00 %;86.36 %;100.00 %;-
120;N;89.31 %;75.00 %;100.00 %;100.00 %;94.44 %;100.00 %;100.00 %;100.00 %
121;N;88.62 %;90.00 %;100.00 %;71.43 %;100.00 %;95.45 %;100.00 %;52.38 %
122;N;60.33 %;100.00 %;92.86 %;92.86 %;100.00 %;95.45 %;100.00 %;-
123;N;79.46 %;90.00 %;85.71 %;57.14 %;69.44 %;95.45 %;86.11 %;48.03 %
124;N;68.26 %;45.00 %;89.29 %;67.86 %;80.56 %;63.64 %;-;37.27 %
